日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
 95/09/21,3404911482,86885075838,681154,6889.89,12.12
 95/09/22,2581709979,64781353962,524008,6885.6,-4.29
 95/09/25,2842099409,67516397614,571729,6911.21,25.61
 95/09/26,2728859894,64881048830,550151,6901.75,-9.46
 95/09/27,3407668502,82077547116,661198,6946.27,44.52
 95/09/28,3326552434,93171402883,644251,6885.12,-61.15
 95/09/29,2700493911,70243589997,598548,6883.05,-2.07
 95/10/02,3483313947,76539374561,626307,6960.95,77.9
 95/10/03,3166934293,76409172765,612541,6956.88,-4.07
 95/10/04,3218780429,77971794417,634545,6874.98,-81.9
 95/10/05,4050944977,114067346754,770037,6997.24,122.26
 95/10/11,3807217893,98589215966,740473,7006.67,9.43
 95/10/12,3717423193,94491301022,748050,6984.58,-22.09
 95/10/13,4210376917,102559579164,830584,7068.8,84.22
 95/10/14,3613069457,75982327347,714620,7076.85,8.05
 95/10/16,4759123468,112864760105,909655,7151.42,74.57
 95/10/17,3657283025,84645971023,742375,7075.13,-76.29
 95/10/18,3258148023,74845906438,655599,7017.6,-57.53
 95/10/19,3096307585,69687066745,634726,6995.83,-21.77
 95/10/20,3101892704,70848168761,648846,7039.37,43.54
 95/10/23,3176373406,71589442630,645375,7040.26,0.89
 95/10/24,3721713892,88638360527,745236,7097.42,57.16
 95/10/25,3406317108,74401541839,675208,7059.89,-37.53
 95/10/26,3514962558,90440952626,698338,7080.84,20.95
 95/10/27,3374486705,86420975982,693844,7086.74,5.9
 95/10/30,2832727622,71883501208,558094,6995.2,-91.54
 95/10/31,2404816544,58894691372,503588,7021.32,26.12
 95/11/01,3078231511,72780198041,614652,7013.99,-7.33
 95/11/02,3376920844,81844054792,699236,7078.1,64.11
 95/11/03,4569732676,113523562644,913232,7161.61,83.51
 95/11/06,3862546091,91510311452,760424,7120.44,-41.17
 95/11/07,4582111351,108724008439,884216,7184.65,64.21
 95/11/08,4199401173,103874767973,841796,7178.34,-6.31
 95/11/09,5544062809,140339099519,1034412,7151.13,-27.21
 95/11/10,3443015359,85741682235,695950,7174.2,23.07
 95/11/13,3762028908,84295558689,723243,7136.06,-38.14
 95/11/14,4924841405,110259231015,928557,7204.04,67.98
 95/11/15,4947412809,110130960555,937571,7236.85,32.81
 95/11/16,4723074858,109657022264,915221,7257.48,20.63
 95/11/17,4360753218,105996386070,839295,7259.54,2.06
 95/11/20,4156822607,99049661384,788132,7261.48,1.94
 95/11/21,4183718086,103134705975,824715,7309.69,48.21
 95/11/22,4627340190,109149090439,905164,7348.77,39.08
 95/11/23,5232437641,124165385230,985033,7384.69,35.92
 95/11/24,4520144841,104789859631,876255,7427.36,42.67
 95/11/27,5635933794,128521389560,998008,7498.15,70.79
 95/11/28,5049488887,114169768567,924013,7444.94,-53.21
 95/11/29,5307424741,126006267374,937670,7474.19,29.25
 95/11/30,5756403299,126027436151,1003466,7567.72,93.53
 95/12/01,6286389637,133751577370,1098106,7613.57,45.85
 95/12/04,6094800848,127900931914,1061758,7647.01,33.44
 95/12/05,6190319615,137601882559,1096587,7609.9,-37.11
 95/12/06,4699088687,114876594674,869033,7693.33,83.43
 95/12/07,5104256647,121046765063,935072,7686.52,-6.81
 95/12/08,4415341317,106210411367,824492,7636.3,-50.22
 95/12/11,4145310060,103695503132,799713,7612.12,-24.18
 95/12/12,5060781429,127159288495,969248,7458.56,-153.56
 95/12/13,4620990121,111280561672,877961,7450.3,-8.26
 95/12/14,3823218435,96656395891,753317,7480.41,30.11
 95/12/15,4322618904,106772623425,843460,7538.82,58.41
 95/12/18,4307962281,101091357290,826548,7624.62,85.8
 95/12/19,4648727969,115420516771,898566,7598.88,-25.74
 95/12/20,4883030447,112451772064,936552,7648.35,49.47
 95/12/21,4747797570,110390827730,912063,7620.94,-27.41
 95/12/22,3671086912,87820654316,770417,7652.47,31.53
 95/12/25,3803326922,76996314220,730179,7646.81,-5.66
 95/12/26,5137624722,116239931122,1015684,7727.59,80.78
 95/12/27,5168415481,113614563441,955768,7733.18,5.59
 95/12/28,4611769346,101288986521,853071,7732.93,-0.25
 95/12/29,4948827779,113661762369,932428,7823.72,90.79
 96/01/02,5738692838,141743085172,1093711,7920.8,97.08
 96/01/03,5974259385,160945755016,1160347,7917.3,-3.5
 96/01/04,5747756529,158857947106,1131747,7934.51,17.21
 96/01/05,5202769867,143781214318,1046480,7835.57,-98.94
 96/01/08,4314344739,115425522734,888324,7736.71,-98.86
 96/01/09,4533381664,120582511893,905970,7790.01,53.3
 96/01/10,5169859212,141047690336,1017112,7698.52,-91.49
 96/01/11,5751960139,161221084804,1134990,7618.55,-79.97
 96/01/12,4498579174,132815068489,939577,7761.71,143.16
 96/01/15,3835623968,117190695104,806876,7783.5,21.79
 96/01/16,3776224832,106504205450,795541,7792.08,8.58
 96/01/17,4031622735,102542605149,797212,7833.98,41.9
 96/01/18,4254803742,114616443773,873424,7895.18,61.2
 96/01/19,4403382827,118099577904,899594,7840.08,-55.1
 96/01/22,4315687282,117485372308,892408,7842.47,2.39
 96/01/23,3812467264,114443999319,836022,7852.36,9.89
 96/01/24,4509612696,126065256422,916070,7935.54,83.18
 96/01/25,4356804203,116740701663,881456,7923.77,-11.77
 96/01/26,3478188010,98087354876,720020,7821.32,-102.45
 96/01/29,3155780039,85237857408,656618,7751.79,-69.53
 96/01/30,3022667025,77303535983,603198,7739.91,-11.88
 96/01/31,3190881545,91924991841,662950,7699.64,-40.27
 96/02/01,2716720475,79202187014,592935,7701.54,1.9
 96/02/02,3146756983,87419851456,620186,7777.03,75.49
 96/02/05,2797746194,75774834866,589599,7783.12,6.09
 96/02/06,3512846018,98326165401,736732,7875.75,92.63
 96/02/07,3231767294,92400393498,682636,7850.06,-25.69
 96/02/08,2912158940,83257065440,613482,7842.22,-7.84
 96/02/09,3377901485,97666836473,708043,7859.53,17.31
 96/02/12,2805134096,77927523433,564776,7776.36,-83.17
 96/02/13,2795282247,81706886649,593035,7736.83,-39.53
 96/02/14,3090525766,91041261905,599847,7809.45,72.62
